6d97978c-c85c-4592-8418-16c3fb34b6e1,5 tbsp cider vinegar,cider vinegar
6d97978c-c85c-4592-8418-16c3fb34b6e1,2 tbsp extra-virgin olive oil or rapeseed oil,olive oil oil
6d97978c-c85c-4592-8418-16c3fb34b6e1,little drizzle of honey,honey
6d97978c-c85c-4592-8418-16c3fb34b6e1,"3-4 apple, cored and thinly sliced",apple
6d97978c-c85c-4592-8418-16c3fb34b6e1,"1 small cauliflower, chopped",cauliflower
6d97978c-c85c-4592-8418-16c3fb34b6e1,handful of alfalfa sprouts (optional),alfalfa sprouts
6d97978c-c85c-4592-8418-16c3fb34b6e1,"200g Stilton or vegetarian crumbly blue cheese, such as Dorset Blue Vinney, crumbled",Stilton cheese
6d97978c-c85c-4592-8418-16c3fb34b6e1,"small bunch mint, chopped",mint
6d97978c-c85c-4592-8418-16c3fb34b6e1,"50g sunflower seeds, toasted (walnuts or cobnuts also work well)",sunflower seeds
61ae2ec4-6ba1-479d-8373-e1d163d552b0,50ml cherry brandy liqueur,brandy liqueur
61ae2ec4-6ba1-479d-8373-e1d163d552b0,50ml kirsch,kirsch
61ae2ec4-6ba1-479d-8373-e1d163d552b0,50ml amaretto,amaretto
61ae2ec4-6ba1-479d-8373-e1d163d552b0,100ml vodka,vodka
61ae2ec4-6ba1-479d-8373-e1d163d552b0,750ml bottle sparkling red grape juice (we used Shloer),juice
61ae2ec4-6ba1-479d-8373-e1d163d552b0,12 maraschino cherry,maraschino cherry
fe934898-ab94-499f-8cd5-483e00e60e4c,"2kg spare ribs, cut into individual ribs",spare ribs
fe934898-ab94-499f-8cd5-483e00e60e4c,2 tbsp barbecue spice mix,barbecue spice mix
fe934898-ab94-499f-8cd5-483e00e60e4c,150g tomato ketchup,tomato ketchup
fe934898-ab94-499f-8cd5-483e00e60e4c,140g chilli ketchup,chilli ketchup
fe934898-ab94-499f-8cd5-483e00e60e4c,3 tbsp soy sauce,soy sauce
fe934898-ab94-499f-8cd5-483e00e60e4c,140g runny honey,runny honey
fe934898-ab94-499f-8cd5-483e00e60e4c,3 tbsp teriyaki sauce,teriyaki sauce
fe934898-ab94-499f-8cd5-483e00e60e4c,4 tbsp bourbon whiskey,bourbon whiskey
b1b29f9f-668b-4012-bf84-cfad665705cc,"1 tbsp olive oil, plus a drizzle to serve (optional)",olive oil
b1b29f9f-668b-4012-bf84-cfad665705cc,"2 x 400g cans cannellini beans, rinsed and drained",beans
b1b29f9f-668b-4012-bf84-cfad665705cc,2 tbsp pesto,pesto
abbbd1fb-ff99-4eb2-889c-3d65505d8010,"250g block stoned date, finely chopped",stoned date
abbbd1fb-ff99-4eb2-889c-3d65505d8010,"125g butter, softened, plus extra for greasing",125g butter
abbbd1fb-ff99-4eb2-889c-3d65505d8010,85g light muscovado sugar,light muscovado sugar
abbbd1fb-ff99-4eb2-889c-3d65505d8010,140g self-raising flour,self-raising flour
abbbd1fb-ff99-4eb2-889c-3d65505d8010,1 tsp baking powder,baking powder
abbbd1fb-ff99-4eb2-889c-3d65505d8010,2 large egg,egg
abbbd1fb-ff99-4eb2-889c-3d65505d8010,50g raisin,raisin
abbbd1fb-ff99-4eb2-889c-3d65505d8010,50g chopped candied peel,candied peel
abbbd1fb-ff99-4eb2-889c-3d65505d8010,"50g dark glac&#233; cherry, halved",dark glac&#233; cherry
abbbd1fb-ff99-4eb2-889c-3d65505d8010,"50g pecan, chopped",pecan
abbbd1fb-ff99-4eb2-889c-3d65505d8010,"50g stem ginger, chopped",ginger
abbbd1fb-ff99-4eb2-889c-3d65505d8010,100g caster sugar,caster sugar
abbbd1fb-ff99-4eb2-889c-3d65505d8010,100ml brandy,brandy
abbbd1fb-ff99-4eb2-889c-3d65505d8010,butterscotch sauce (see related recipes),butterscotch sauce
abbbd1fb-ff99-4eb2-889c-3d65505d8010,"1 holly sprig, to garnish",holly
a2681074-72a4-4624-89dd-412fccb0e0bc,250g macaroni,macaroni
a2681074-72a4-4624-89dd-412fccb0e0bc,"1 head cauliflower, broken into pieces",cauliflower
a2681074-72a4-4624-89dd-412fccb0e0bc,25g butter,butter
a2681074-72a4-4624-89dd-412fccb0e0bc,2 tbsp plain flour,flour
a2681074-72a4-4624-89dd-412fccb0e0bc,2 tsp English mustard powder,English mustard powder
a2681074-72a4-4624-89dd-412fccb0e0bc,450ml milk,milk
a2681074-72a4-4624-89dd-412fccb0e0bc,"100g cheddar, grated",blank
b01f2bfe-c902-4ce0-b7cb-619e77a24954,"1kg Brussels sprout, trimmed",Brussels sprout
b01f2bfe-c902-4ce0-b7cb-619e77a24954,4 tbsp goose fat,goose fat
b01f2bfe-c902-4ce0-b7cb-619e77a24954,"a few sage sprigs, shredded",sage
b01f2bfe-c902-4ce0-b7cb-619e77a24954,"200g pack whole, cooked and peeled chestnuts",chestnuts
a1202882-45ec-401b-9143-d2d5eb973218,50g unsalted butter,unsalted butter
a1202882-45ec-401b-9143-d2d5eb973218,"2 shallot, finely chopped",shallot
a1202882-45ec-401b-9143-d2d5eb973218,"400g pack duck or chicken liver, cleaned",pack
a1202882-45ec-401b-9143-d2d5eb973218,1 heaped tsp thyme leaves,heaped tsp thyme leaves
a1202882-45ec-401b-9143-d2d5eb973218,2 tbsp gin,gin
a1202882-45ec-401b-9143-d2d5eb973218,170ml pot double cream,pot double cream
a1202882-45ec-401b-9143-d2d5eb973218,100g unsalted butter,unsalted butter
a1202882-45ec-401b-9143-d2d5eb973218,"16 juniper berry, chopped",juniper berry
a1202882-45ec-401b-9143-d2d5eb973218,2 tsp thyme leaves,tsp thyme leaves
a1202882-45ec-401b-9143-d2d5eb973218,"thinly sliced seed bread or brioche, toasted",bread
a1202882-45ec-401b-9143-d2d5eb973218,a few gherkins or cornichons,gherkins
4e11ae86-52df-48b3-888a-03f1ac9e66ec,100g basmati rice,basmati rice
4e11ae86-52df-48b3-888a-03f1ac9e66ec,2 large tilapia fillet,tilapia
4e11ae86-52df-48b3-888a-03f1ac9e66ec,2 tsp butter,butter
4e11ae86-52df-48b3-888a-03f1ac9e66ec,"150g pot fat-free yogurt, to serve",pot yogurt
4e11ae86-52df-48b3-888a-03f1ac9e66ec,"2 small naan bread, to serve",naan bread
4e11ae86-52df-48b3-888a-03f1ac9e66ec,"handful coriander, roughly chopped",coriander
